INTL_20160320_000001	+1 extra instance entry for missions and dungeons
INTL_20160511_000002	Perfect Translator
INTL_20160511_000003	Title yang diberikan untuk user yang membantu penerjemahan dengan sempurna.
INTL_20160511_000004	Magic Amplifier
INTL_20160511_000005	Kondis Magic power teramplifikasikan dengan Crit Hit dan fair.
INTL_20160511_000006	Kondisi Defense dikurangi.
INTL_20160511_000007	- Memungkinkan training Spesific Skill 2 buah pada saat bersamaan{nl} - Mengurangi Market Sales Commision(30%{img white_right_arrow 16 16}10%){nl} - jumlah Market Sales Registration Item{nl} - Character Movement Speed +3{nl} - Extra Entrance Mission,Infin
INTL_20160511_000008	Token :60 hari
INTL_20160511_000009	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +20%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl}
INTL_20160511_000010	Ketika klik kanan mouse dan terpakai, bisa mendapatkan item.{nl} - 650 TP{nl} - Token(60 hari){nl} - Hair Accessories - Popolion Doll{nl} - Hair Accessories - Hanaming Doll{nl} - Hoglan Companion Exchange Coupon{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}
INTL_20160511_000011	Use to obtain 650 TP.
INTL_20160511_000012	Use to obtain 380 TP.
INTL_20160511_000013	Use to obtain 160 TP.
INTL_20160511_000014	Right-click to obtain the following items.{nl} - 380 TP{nl} - Token (30 hari){nl} - Hair Accessories - Popolion Doll{nl}
INTL_20160511_000015	Right-click to obtain the following items.{nl} - 160 TP{nl}
INTL_20160511_000016	Mendapatkan 50TP ketika pemakaian. Ketika mendapatkannya pada Inventory Character setelah menggunakannya, maka tidak dapat melakukan pembatalan.
INTL_20160511_000017	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - mAble to learn attributes instantaneously{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - ble to list up to 9 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl}(PC Cafe benefit, stacking EXP effects){nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - frekuensi Personal Trade 30 kali{nl} - Extra entrance Mission, Dungeon 1 kali
INTL_20160511_000018	Applies Token benefits to all your characters in the server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 9 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl}(PC Cafe benefit, stacking EXP effects){nl} - Able to use Premium Gestures{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - Able to use Personal Trade up to 30 times{nl} - frekuensi Personal Trade 60 kali{nl} - 1 extra instance entry for missions and dungeons
INTL_20160511_000019	Magic Enhancement Scroll 10 pcs Box
INTL_20160511_000020	Mendapatkan 10 pcs Magic Enhancement Scroll ketika pemakaian. Mouse klik kanan untuk menggunakannya
INTL_20160511_000021	Megaphone 10 pcs Box
INTL_20160511_000022	Mendapatkan 10 pcs Megaphone ketika digunakan. Mouse klik kanan untuk menggunakannya
INTL_20160511_000023	Mendapatkan 455 TP ketika pemakaian.
INTL_20160511_000024	Mendapatkan 266 TP ketika pemakaian.
INTL_20160511_000025	Mendapatkan 112 TP ketika pemakaian.
INTL_20160511_000026	Hoglan Exchange Coupon
INTL_20160511_000027	Dapat menukarkan dengan Hoglan di Companion Shop
INTL_20160511_000028	Attack meningkat #{CaptionRatio}#% {nl}SpesificExtra Damage #{CaptionRatio2}#{nl}Durasi 10 detik
INTL_20160511_000029	Token : 30 hari
INTL_20160517_000030	TOS Seriously Leveling Package
INTL_20160517_000031	Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.
INTL_20160517_000032	Mendapatkan 600 TP ketika pemakaian.
INTL_20160517_000033	Mendapatkan 1300 TP ketika pemakaian.
INTL_20160517_000034	TOS Surprise Package
INTL_20160517_000035	Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.
