QUEST_20150317_000001	Pilih user untuk memodifikasi quest.
QUEST_20150317_000002	Goddess Vakarine Statue
QUEST_20150317_000003	Silahkan pilih territory.
QUEST_20150317_000004	Pilih
QUEST_20150317_000005	Pilih item yang di inginkan.
QUEST_20150317_000006	Pilih Grup
QUEST_20150317_000007	Silahkan pilih cheat start group.
QUEST_20150317_000008	Pilih Zone
QUEST_20150317_000009	Silahkan pilih starting zone.
QUEST_20150317_000010	Pilih Advancement
QUEST_20150317_000011	Silahkan pilih class
QUEST_20150317_000012	Bokor Master
QUEST_20150317_000013	Kamu ingin tahu tentang batu slate ini?  {nl} Aku akan memberikan penglihatan dari sang pembuat slate ini.
QUEST_20150317_000014	Goddess Laima
QUEST_20150317_000015	Seiring dengan waktu kamu melihat wahyu ini, akan memakan waktu yang panjang.  {nl} Aku adalah Laima,  Goddess of Fate and Wisdom.  {nl}
QUEST_20150317_000016	Saat aku membuat wahyu ini sekitar 600 tahun lalu, Aku melihat banyak kesedihan dan kematian.  {nl} Jika kamu sudah melihat wahyu ini berarti semua yang aku ramalkan telah menjadi kenyataan.  {nl}
QUEST_20150317_000017	Bencana yang pertama disebabkan oleh Demon, dan semua Goddess menghilang.  {nl}Aku sudah tahu akan semua ini dari awal dan mencoba untuk mencegahnya, namun kekuatanku tidak cukup.{nl}
QUEST_20150317_000018	Aku melewati banyak mimpi demi mendapatkan jawaban.  {nl} Dan akhirnya aku memimpikan tentang dirimu.. The Savior.{nl}
QUEST_20150317_000019	Namun bagaimanapun, mengetahui kekuatanku yang dapat meramal takdir, para Demon tidak akan membiarkanku begitu saja. Jadi aku harus bersembunyi agar dapat bertemu dirimu.{nl}
QUEST_20150317_000020	Aku memutuskan untuk membagi diriku menjadi beberapa buah wahyu.  {nl}Menyembunyikan diriku di sekitar area kerajaan selama ribuan tahun. {nl}
QUEST_20150317_000021	Demi dunia dan menghentikan para Demon,  {nl}Kamu harus menemukan seluruh wahyu melewati ruang dan waktu.{nl}
QUEST_20150317_000022	Beban dari tugas yang suci ini mungkin akan cukup memberatkanmu.{nl}
QUEST_20150317_000023	Namun, hanya kamu dan aku yang bisa menyelamatkan dunia.
QUEST_20150317_000024	Aku telah memberikan wahyu berikutnya pada Paladin pertama. {nl}Aku akan menunggumu di taman yang berada di bukit.
QUEST_20150317_000025	Akan datang pasukan iblis dan aku tidak bisa merasakannya.  {nl}Pasti, ini adalah wahyu asli dari Goddess Laima  .. Sungguh luar biasa.
QUEST_20150317_000026	Baiklah, cepat pergi temui Sir Uska. {nl}Dia akan memberitahu kemana kamu harus pergi. {nl}Semoga Goddess bless menyertai takdirmu..
QUEST_20150317_000027	Silahkan pilih smart gen yang di inginkan.
QUEST_20150317_000028	William
QUEST_20150317_000029	Semua jadi 100 Silver. {nl}Ini sudah cukup murah dibandingkan harus menuju ke sekumpulan monster.
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	Totalnya jadi 100 Silver. {nl}Ini semua termasuk biaya operasi, usaha dan biaya lain-lain.
QUEST_20150317_000032	Hey..tunggu dulu. {nl}Kamu butuh lebih dari itu..
QUEST_20150317_000033	Ini tidak baik. {nl}Meskipun kamu seorang Savior, Aku tidak bisa bekerja untukmu.
QUEST_20150317_000034	Wandering Merchant
QUEST_20150317_000035	Aku sangat miskin, wandering merchant. {nl}Baiklah, karena kita sudah bertemu, apakah kamu mau melihat barang daganganku?
QUEST_20150317_000036	Christina
QUEST_20150317_000037	Selamat datang kawan.  {nl} Apakah kamu mencari teman untuk bertualang?  {nl} Tidak ada Companion yang lebih baik dari mereka.
QUEST_20150317_000038	Kamu dapat membuat companion membantu pertarunganmu atau melatihnya dengan special Attribute.  {nl} Jika hubungan kamu sudah sangat baik, kamu bisa membelikannya equipment yang keren.  {nl}
QUEST_20150317_000039	Companion yang tumbuh dengan kasih sayang dari kamu akan memberi bonus stamina dan evasion pada masternya.  {nl} Bagaimana menurutmu? Bukankah Companion baik untukmu?
QUEST_20150317_000040	Kamu membutuhkan key untuk box.
QUEST_20150317_000041	Pilih Quest
QUEST_20150317_000042	Modify Quest Status.
