QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20150317_000002	Catatan perjalanan panjang Hashipusho.
QUEST_UNUSED_20150317_000003	Jadi. Korezo. Pardoner tidak mengijinkan kamu untuk memperkenalkan diri. Suara silver jatuh untuk donasi ini telah dibeli {nl} pengampunan dosa yang membimbing keselamatan kita. {nl} Juga kekayaan, harap dicatat itu adalah blessing dari Goddess.
QUEST_UNUSED_20150317_000004	Pardoner dilihat kembali ke Master Te. {nl} Jika punya fire pot yang dicari-cari selama ini.
QUEST_UNUSED_20150317_000005	Gatekeeper Owl Image
QUEST_UNUSED_20150317_000006	Atau Tesla-sepertinya telah menciptakan kita dengan memotong pohon. {nl} Jadi, kami owl, kamu selalu mengatakan ingin membalas budi. {nl}
QUEST_UNUSED_20150317_000007	Jadi aku ini apa. Kamu mungkin bertanya. Apakah kamu ingin Tesla electrolysis mengumpulkan sculpture of marble dari {nl} Cathedral?
QUEST_UNUSED_20150317_000008	Jika marble of the cathedral, tapi itu seperti yang Tesla suka?
QUEST_UNUSED_20150317_000009	Jika itu adalah sebuah hadiah dari Owl Image {nl} seorang bati, tapi sebuah bukti untuk hidupku. {nl}
QUEST_UNUSED_20150317_000010	Ngomong-ngomong .. Apa yang membuat pengunjung senang hari ini, Aku akan menggambar Hey.
QUEST_UNUSED_20150317_000011	Ketika aku pertama kali melihat di Klaipeda, aku dianggap lemah apakah aku bisa mengangkat pedangnya. {nl} Tapi, sekarang aku menjadi seorang pahlawan dan banyak orang yang memujiku.
QUEST_UNUSED_20150317_000012	Namun, Aku ingin memastikan keberanianmu secara langsung. Banshee {nl} menutupi aura jahat dark forest. Bagi Kamu bukan tantangan yang sulit.
QUEST_UNUSED_20150317_000013	Isolasi. Hanya sekedar berburu. Di dalam {nl}, Itogetone sedang menunggu di Klaipeda.
QUEST_UNUSED_20150317_000014	Sudah. Sedang menunggu. {nl} Akan diberikan sebuah hadiah yang sesuai dengan kotak pada level ini.
QUEST_UNUSED_20150317_000015	Hehe, Aku sangat antusias. {nl} Aku ingat ketika kamu masih sebagai wizard pemula. Lalu kamu juga sangat antusias. {nl}
QUEST_UNUSED_20150317_000016	Sekarang aku ingin tahu bagaimana perkembanganmu. Jika {nl} Banshee et al defile Forest, Bukankah ini tantangan yang layak untukmu?
QUEST_UNUSED_20150317_000017	Daripada tes, itu dianggap sesuatu yang baik. Di dalam {nl}, dan nanti bertemu di Klaipeda.
QUEST_UNUSED_20150317_000018	Ya, Brilliantly Hatchiu~otone. Dan {nl} adalah sosok ketika bertemu selanjutnya, masih cemas?
QUEST_UNUSED_20150317_000019	Plate ketika kamu melihat pertama kali, Aku heran tidak segera mati parser juga berdiri. Aku pikir. {nl} Sekarang aku pikir itu menjadi lebih terkenal dariku. {nl}
QUEST_UNUSED_20150317_000020	Kamu yakin mencoba bertaruh melihat reputasinya. {nl} Itu untuk membasmi semua Banshee jahat yang ada di hutan ini. Bagaimana?
QUEST_UNUSED_20150317_000021	Apa yang menjadikan aku penting dari benar-benar bertaruh. Bertemu denganku, itu tidka lebih penting. Sedang {nl}, menunggu di Klaipeda.
QUEST_UNUSED_20150317_000022	Sudah. Kamu benar-benar membuatku terkesan. {nl} Apakah sekarang kamu menerima penampilan yang lebih dewasa?
QUEST_UNUSED_20150317_000023	Aku kira itu diisi dengan karunia Goddess dibandingkan ketika kamu pertama kali datang ke Klaipeda. {nl} Aku ingin tahu seberapa dalam keyakinanmu. {nl}
QUEST_UNUSED_20150317_000024	Tentu saja, itu bukan hal yang sama dalam standar abstrak. {nl} dan aku mengusir Banshee yang membawa aura jahat di hutan ini atas nama Goddess.
QUEST_UNUSED_20150317_000025	Goddess mengurangi musuh kami dan kami tidak punya perbedaan. Baiklah {nl}, Aku akan bertemu kamu di Klaipeda.
QUEST_UNUSED_20150317_000026	Aku adalah Mashi Oh. Kamu menunjukkan keyakinan yang besar. {nl} dan juga memberiku inspirasi besar. {nl} Ini yang dilakukan Kastil kecilku. Dengan segala hormat, mohon tulis hal yang benar.
