QUEST_LV_0300_20150323_000001	Kami dikerahkan ke sini dari headquarters untuk membantu Knights of Kaliss.{nl} Jika Kamu ingin tahu lebih banyak, pergilah ke headquarters kami di Verkti Square.
QUEST_LV_0300_20150323_000002	Aku sudah menjadi merchant sepanjang hidupku. Setelah Medzio Diena, tampak ini adalah tempat yang paling aman, jadi saya menetap di sini.. Namun perkiraan saya salah.
QUEST_LV_0300_20150323_000003	Saya telah bertemu banyak Savior selama perjalanan.{nl} Menurut saya.. ada sesuatu yang spesial mengenai mereka, namun itu bukan hanya semata-mata mereka kuat.
QUEST_LV_0300_20150323_000004	Saya tidak menyalahkan Goddess dan para priest.{nl} Tapi saya rasa itu terlalu berlebihan ketika mereka mengatakan untuk mempercayai dan menunggu mereka.
QUEST_LV_0300_20150323_000005	Segel di desa seharusnya tersegel - Itu sebabnya mereka disebut segel, jadi apa masalahnya? {nl} Para priest hanya mencoba untuk menakut-nakuti kami tanpa alasan.
QUEST_LV_0300_20150323_000006	Para priest tidak ingin semua orang tahu betapa pentingnya segel di desa itu.{nl} Mereka pikir bahwa mereka bisa membebani diri mereka sendiri, dan kemudian semuanya akan baik-baik saja.
QUEST_LV_0300_20150323_000007	Beberapa priest ingin jujur dan terbuka kepada warga desa.{nl}Pada saat ini, jika sesuatu yang sangat buruk terjadi..
QUEST_LV_0300_20150323_000008	Energi jahat membuat hutan rusak dan menjadi tempat tak berpenghuni.{nl} Hal ini adalah masalah terbesar yang desa ini hadapi.
QUEST_LV_0300_20150323_000009	Goddess...{nl} Tolong beritahu saya segel dari desa akan baik-baik saja…
QUEST_LV_0300_20150323_000010	Para demon akan terus mengincar segel dan menyerang tanpa henti.{nl} Dengan Goddess Austeja yang masih menghilang, berapa lama kita akan dapat bertahan..
QUEST_LV_0300_20150323_000011	Ini adalah sebuah kesalahan bagi kami karena kami mencoba menangani hal ini sendiri.{nl} Mulai sekarang, kami akan memberitahu warga desa seluruh kebenaran dan melibatkan mereka dalam diskusi mengenai bagaimana cara menangani masalah ini.
QUEST_LV_0300_20150717_000012	Periksa Fungsi Detector (1)
QUEST_LV_0300_20150717_000013	Demons, Goddesses, dan Petrified City (1)
QUEST_LV_0300_20150717_000014	Periksa Fungsi Detector (2)
QUEST_LV_0300_20150717_000015	Demons, Goddesses, dan Petrified City (2)
QUEST_LV_0300_20150717_000016	Periksa Fungsi Detector (3)
QUEST_LV_0300_20150717_000017	Periksa Fungsi Detector (4)
QUEST_LV_0300_20150717_000018	Tentang Pedoman Souls
QUEST_LV_0300_20150717_000019	Memperbaiki Petrification Detector
QUEST_LV_0300_20150717_000020	Memperbaiki/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	Periksa Fungsi Detector (5)
QUEST_LV_0300_20150717_000022	Memperbaiki/MAKING/3/TRACK_BEFORE
QUEST_LV_0300_20150717_000023	Notice/!/Salah satu bagian tidak terikat dengan baik{nl} Kamu membutuhkan sesuatu seperti string untuk mengikatnya!#5
QUEST_LV_0300_20150717_000024	Notice/!/Kamu perlu mencari string#5
QUEST_LV_0300_20150717_000025	Untuk Pedoman Souls
QUEST_LV_0300_20150717_000026	Sekarang Kamu bisa tenang
QUEST_LV_0300_20150717_000027	Memeriksa Device/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	Notice/!/Ketika Kamu menyentuh device, rasanya seolah-olah soul Kamu tersedot keluar!{nl} Kamu mulai merasa lemah dan lebih lemah!
QUEST_LV_0300_20150717_000029	Notice/Sekarang Kamu merasa kembali berenergi#5
QUEST_LV_0300_20150717_000030	Hanya Keinginannya (1)
QUEST_LV_0300_20150717_000031	mengenai alasan dibalik wasiatnnya
QUEST_LV_0300_20150717_000032	Hanya Keinginannya (3)
QUEST_LV_0300_20150717_000033	Hanya Keinginannya (2)
QUEST_LV_0300_20150717_000034	Pergi ke Cleric Master
QUEST_LV_0300_20150717_000035	Sekarang Kamu tidak bisa bekerja bersama
QUEST_LV_0300_20150717_000036	Hancurkan Terminal (1)
QUEST_LV_0300_20150717_000037	Mengenai Mainframe dan Terminal
QUEST_LV_0300_20150717_000038	Hindari serangan monster dan hancurkan terminal!#5
QUEST_LV_0300_20150717_000039	Hancurkan Terminal (2)
QUEST_LV_0300_20150717_000040	Memicu bubuk peledakan/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000041	Notice/Terminal telah hancur dalam ledakan!#5
QUEST_LV_0300_20150717_000042	Hancurkan Terminal (3)
QUEST_LV_0300_20150717_000043	Dan Peristirahatan Abadi (1)
QUEST_LV_0300_20150717_000044	Apakah anda memiliki kata-kata terakhir
QUEST_LV_0300_20150717_000045	Dan Peristirahatan Abadi (2)
QUEST_LV_0300_20150717_000046	Meletakkan Orb/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000047	Dan Peristirahatan Abadi (3)
QUEST_LV_0300_20150717_000048	Menyapa
QUEST_LV_0300_20150717_000049	Notice/Sepertinya keinginan Svitrigaila terkabul#5
QUEST_LV_0300_20150717_000050	Periksa Detector
QUEST_LV_0300_20150717_000051	Bicara Kepada Kupole Meile
QUEST_LV_0300_20150717_000052	Bicara kepada Kupole, yang Kamu selamatkan dari Stone Frost.
QUEST_LV_0300_20150717_000053	Memeriksa Petrification Detectors
